ID,Symbol,Company_Name,Market_Cap
99,NKE,"NIKE, Inc.",106.45B
100,SBUX,Starbucks Corporation,104.45B
101,ICE,"Intercontinental Exchange, Inc.",104.05B
102,AMT,American Tower Corporation,102.13B
103,DASH,"DoorDash, Inc.",101.90B
104,CEG,Constellation Energy Corporation,100.34B
105,PLD,"Prologis, Inc.",100.11B
106,SO,The Southern Company,99.99B
107,WELL,Welltower Inc.,99.84B
108,MO,"Altria Group, Inc.",98.49B
109,CME,CME Group Inc.,98.47B
110,INTC,Intel Corporation,98.19B
111,TT,Trane Technologies plc,96.50B
112,FI,"Fiserv, Inc.",95.42B
113,BMY,Bristol-Myers Squibb Company,94.41B
114,HCA,"HCA Healthcare, Inc.",91.62B
115,WM,"Waste Management, Inc.",91.54B
116,MCK,McKesson Corporation,91.08B
117,DUK,Duke Energy Corporation,90.97B
118,PH,Parker-Hannifin Corporation,89.28B
119,COIN,"Coinbase Global, Inc.",89.17B
120,CTAS,Cintas Corporation,89.00B
121,CI,The Cigna Group,87.94B
122,MCO,Moody's Corporation,87.83B
123,MDLZ,"Mondelez International, Inc.",87.56B
124,SHW,The Sherwin-Williams Company,86.28B
125,CVS,CVS Health Corporation,86.22B
126,ELV,"Elevance Health, Inc.",85.68B
127,UPS,"United Parcel Service, Inc.",85.37B
128,TDG,TransDigm Group Incorporated,83.95B
129,CDNS,"Cadence Design Systems, Inc.",83.75B
130,DELL,Dell Technologies Inc.,83.51B
131,RCL,Royal Caribbean Cruises Ltd.,82.66B
132,ABNB,"Airbnb, Inc.",82.32B
133,MMM,3M Company,81.75B
134,AJG,Arthur J. Gallagher & Co.,81.69B
135,APO,"Apollo Global Management, Inc.",81.39B
136,COF,Capital One Financial Corporation,80.86B
137,FTNT,"Fortinet, Inc.",79.37B
138,SNPS,"Synopsys, Inc.",78.39B
139,GD,General Dynamics Corporation,77.76B
140,WMB,"The Williams Companies, Inc.",76.75B
141,EQIX,"Equinix, Inc.",76.64B
142,ORLY,"O'Reilly Automotive, Inc.",76.24B
143,AON,Aon plc,76.20B
144,RSG,"Republic Services, Inc.",76.08B
145,ECL,Ecolab Inc.,75.14B
146,EMR,Emerson Electric Co.,74.78B
147,MAR,"Marriott International, Inc.",74.74B
148,CMG,"Chipotle Mexican Grill, Inc.",74.05B
149,PNC,"The PNC Financial Services Group, Inc.",73.73B
150,HWM,Howmet Aerospace Inc.,73.68B
151,ITW,Illinois Tool Works Inc.,72.82B
152,CL,Colgate-Palmolive Company,71.49B
153,USB,U.S. Bancorp,71.23B
154,NOC,Northrop Grumman Corporation,71.12B
155,PYPL,"PayPal Holdings, Inc.",71.06B
156,MSI,"Motorola Solutions, Inc.",69.66B
157,ZTS,Zoetis Inc.,69.38B
158,JCI,Johnson Controls International plc,69.09B
159,VST,Vistra Corp.,65.98B
160,EOG,"EOG Resources, Inc.",65.77B
161,ADSK,"Autodesk, Inc.",65.49B
162,BK,The Bank of New York Mellon Corporation,65.03B
163,KMI,"Kinder Morgan, Inc.",64.30B
164,AXON,"Axon Enterprise, Inc.",63.46B
165,WDAY,"Workday, Inc.",63.46B
